rules,len,support,confidence,lift,count
"{aj=AJ37,bv=BV29,bj=BJ1} => {av=AV5}",36,0.137168142,1,1.467532468,62
"{aj=AJ31,bv=BV20,bj=BJ1} => {av=AV5}",36,0.267699115,1,1.467532468,121
"{bv=BV14,bj=BJ2} => {av=AV5}",28,0.117256637,1,1.467532468,53
"{bv=BV29,bj=BJ1} => {av=AV5}",28,0.205752212,0.989361702,1.45192042,93
"{aj=AJ31,bj=BJ1} => {av=AV5}",28,0.272123894,1,1.467532468,123
"{bv=BV20,bj=BJ1} => {av=AV5}",28,0.274336283,1,1.467532468,124
{aj=AJ42} => {bj=BJ2},21,0.110619469,1,1.956709957,50
{aj=AJ37} => {bj=BJ1},21,0.139380531,1,2.045248869,63
{bv=BV29} => {bj=BJ1},21,0.207964602,0.639455782,1.307846215,94
{bv=BV29} => {av=AV5},21,0.216814159,0.666666667,0.978354978,98
{bv=BV20} => {av=AV5},21,0.280973451,0.858108108,1.259301509,127
{bv=BV9} => {bj=BJ2},20,0.115044248,0.962962963,1.884239218,52
{bj=BJ1} => {av=AV5},20,0.480088496,0.981900452,1.440970794,217
{} => {av=AV5},14,0.681415929,0.681415929,1,308
