rules,len,support,confidence,lift,count
"{av=AV8,aj=AJ5,bj=BJ2} => {bv=BV12}",35,0.161616162,1,3.159574468,48
"{av=AV8,bj=BJ2} => {bv=BV12}",28,0.171717172,0.80952381,2.55775076,51
"{aj=AJ5,bj=BJ2} => {bv=BV12}",28,0.178451178,1,3.159574468,53
"{av=AV8,aj=AJ5} => {bv=BV12}",28,0.222222222,0.985074627,3.11241664,66
"{av=AV5,bv=BV17} => {bj=BJ2}",28,0.239057239,1,1.242677824,71
{av=AV8} => {bv=BV12},21,0.232323232,0.831325301,2.626634196,69
{aj=AJ5} => {bv=BV12},21,0.245791246,0.973333333,3.075319149,73
{bv=BV17} => {bj=BJ2},21,0.2996633,0.978021978,1.215366224,89
{av=AV8} => {bj=BJ2},20,0.212121212,0.759036145,0.943237385,63
{aj=AJ5} => {av=AV8},20,0.225589226,0.893333333,3.196626506,67
{av=AV5} => {bj=BJ2},20,0.282828283,0.965517241,1.199826865,84
{} => {bj=BJ2},14,0.804713805,0.804713805,1,239
