rules,len,support,confidence,lift,count
"{av=AV6,bj=BJ2} => {bv=BV29}",28,0.138662316,0.87628866,1.359911262,85
"{av=AV6,bj=BJ1} => {bv=BV29}",28,0.15497553,0.989583333,1.535733122,95
{av=AV21} => {bv=BV29},22,0.122349103,1,1.551898734,75
{aj=AJ53} => {bv=BV29},22,0.150081566,1,1.551898734,92
{bv=BV19} => {bj=BJ2},21,0.117455139,0.666666667,1.209072978,72
{aj=AJ34} => {bj=BJ2},21,0.120717781,0.913580247,1.656877785,74
{av=AV12} => {bj=BJ2},21,0.148450245,0.81981982,1.486832987,91
{av=AV6} => {bv=BV29},21,0.293637847,0.932642487,1.447366695,180
{bj=BJ1} => {bv=BV29},21,0.334420881,0.745454545,1.156869965,205
{} => {bv=BV29},15,0.644371941,0.644371941,1,395
