rules,len,support,confidence,lift,count
"{aj=AJ26,bv=BV13,bj=BJ2} => {av=AV3}",36,0.107594937,0.988372093,1.263452999,85
"{aj=AJ26,bv=BV13} => {bj=BJ2}",29,0.108860759,0.966292135,1.055837879,86
"{aj=AJ26,bv=BV13} => {av=AV3}",29,0.111392405,0.988764045,1.263954038,88
"{av=AV3,bv=BV13} => {bj=BJ2}",28,0.124050633,0.899082569,0.982400041,98
"{aj=AJ26,bj=BJ2} => {av=AV3}",28,0.588607595,0.978947368,1.251405212,465
{bv=BV15} => {bj=BJ2},21,0.101265823,1,1.092669433,80
{bv=BV19} => {bj=BJ2},21,0.103797468,0.953488372,1.041847599,82
{bv=BV14} => {bj=BJ2},21,0.110126582,0.956043956,1.044640007,87
{bv=BV13} => {av=AV3},21,0.137974684,0.707792208,0.904782919,109
{bv=BV13} => {bj=BJ2},21,0.164556962,0.844155844,0.922383288,130
{aj=AJ26} => {bj=BJ2},21,0.601265823,0.969387755,1.059220369,475
{aj=AJ26} => {av=AV3},21,0.607594937,0.979591837,1.252229047,480
{bv=BV4} => {av=AV3},20,0.116455696,0.836363636,1.069137982,92
{bv=BV4} => {bj=BJ2},20,0.130379747,0.936363636,1.023135924,103
{av=AV3} => {bj=BJ2},20,0.741772152,0.948220065,1.03609108,586
{} => {aj=AJ26},15,0.620253165,0.620253165,1,490
{} => {av=AV3},14,0.782278481,0.782278481,1,618
{} => {bj=BJ2},14,0.915189873,0.915189873,1,723
