rules,len,support,confidence,lift,count
"{av=AV26,bv=BV30,bj=BJ2} => {aj=AJ43}",37,0.137931034,1,4.373015873,76
"{av=AV5,aj=AJ34,bv=BV20} => {bj=BJ2}",36,0.123411978,1,2.204,68
"{av=AV3,aj=AJ31,bv=BV12} => {bj=BJ1}",36,0.181488203,1,1.836666667,100
"{av=AV26,bv=BV30} => {aj=AJ43}",30,0.192377495,1,4.373015873,106
"{av=AV3,aj=AJ31} => {bj=BJ1}",28,0.199637024,1,1.836666667,110
{av=AV26} => {aj=AJ43},22,0.206896552,1,4.373015873,114
{aj=AJ34} => {bj=BJ2},21,0.127041742,1,2.204,70
{bv=BV20} => {av=AV5},21,0.141560799,0.975,4.796651786,78
{bv=BV30} => {bj=BJ2},21,0.148820327,0.732142857,1.613642857,82
{aj=AJ31} => {bj=BJ1},21,0.203266788,0.98245614,1.804444444,112
{bv=BV12} => {bj=BJ1},21,0.290381125,0.963855422,1.770281124,160
{bv=BV6} => {bj=BJ1},20,0.108892922,0.652173913,1.197826087,60
