rules,len,support,confidence,lift,count
"{av=AV8,aj=AJ40,bj=BJ2} => {bv=BV19}",36,0.103225806,0.888888889,1.287642783,16
"{av=AV8,aj=AJ40} => {bv=BV19}",29,0.116129032,0.9,1.303738318,18
"{aj=AJ40,bj=BJ2} => {bv=BV19}",29,0.15483871,0.923076923,1.337167505,24
"{av=AV8,bj=BJ2} => {bv=BV19}",28,0.187096774,0.878787879,1.273010479,29
{aj=AJ40} => {bv=BV19},22,0.174193548,0.931034483,1.348694811,27
{av=AV5} => {bv=BV19},21,0.109677419,0.944444444,1.368120457,17
{aj=AJ40} => {av=AV8},21,0.129032258,0.689655172,2.323838081,20
{aj=AJ40} => {bj=BJ2},21,0.167741935,0.896551724,1.349179779,26
{bj=BJ1} => {bv=BV19},21,0.264516129,0.788461538,1.142163911,41
{av=AV8} => {bv=BV19},21,0.270967742,0.913043478,1.322633076,42
{bj=BJ2} => {bv=BV19},21,0.425806452,0.640776699,0.928227929,66
{av=AV8} => {bj=BJ2},20,0.212903226,0.717391304,1.079569439,33
{} => {bv=BV19},15,0.690322581,0.690322581,1,107
{} => {bj=BJ2},14,0.664516129,0.664516129,1,103
