rules,len,support,confidence,lift,count
"{av=AV27,aj=AJ42,bj=BJ2} => {bv=BV19}",37,0.333333333,1,1.288590604,128
"{av=AV27,aj=AJ42} => {bv=BV19}",30,0.338541667,1,1.288590604,130
"{av=AV27,bj=BJ2} => {bv=BV19}",29,0.424479167,0.976047904,1.257726158,163
"{aj=AJ42,bj=BJ2} => {bv=BV19}",29,0.455729167,0.983146067,1.266872785,175
{av=AV27} => {bv=BV19},22,0.4453125,0.977142857,1.259137105,171
{aj=AJ42} => {bv=BV19},22,0.4765625,0.983870968,1.267806885,183
{aj=AJ37} => {bj=BJ2},21,0.114583333,1,1.174311927,44
{av=AV27} => {bj=BJ2},21,0.434895833,0.954285714,1.120629096,167
{aj=AJ42} => {bj=BJ2},21,0.463541667,0.956989247,1.123803887,178
{bv=BV19} => {bj=BJ2},21,0.690104167,0.889261745,1.044270673,265
{} => {bv=BV19},15,0.776041667,0.776041667,1,298
{} => {bj=BJ2},14,0.8515625,0.8515625,1,327
