rules,len,support,confidence,lift,count
"{av=AV16,aj=AJ13,bv=BV13} => {bj=BJ2}",37,0.100699301,1,1.4958159,72
"{av=AV16,aj=AJ42,bv=BV13} => {bj=BJ2}",37,0.198601399,1,1.4958159,142
"{aj=AJ42,bv=BV13} => {bj=BJ2}",29,0.2,0.986206897,1.475183956,143
"{av=AV16,aj=AJ42} => {bj=BJ2}",29,0.213986014,0.993506494,1.486102809,153
"{av=AV16,bv=BV13} => {bj=BJ2}",29,0.358041958,0.977099237,1.461560574,256
{aj=AJ13} => {bv=BV13},22,0.102097902,0.869047619,1.726025132,73
{aj=AJ13} => {av=AV16},22,0.111888112,0.952380952,1.968070465,80
{aj=AJ42} => {bv=BV13},22,0.202797203,0.911949686,1.811233403,145
{aj=AJ42} => {av=AV16},22,0.215384615,0.968553459,2.00149053,154
{av=AV16} => {bv=BV13},22,0.366433566,0.757225434,1.503933847,262
{aj=AJ42} => {bj=BJ2},21,0.216783217,0.974842767,1.458185311,155
{bv=BV13} => {bj=BJ2},21,0.404195804,0.802777778,1.200807764,289
{av=AV16} => {bj=BJ2},21,0.46013986,0.950867052,1.422322055,329
{bv=BV2} => {bj=BJ1},20,0.123076923,0.907216495,2.736961155,88
{av=AV7} => {bj=BJ1},20,0.132867133,0.833333333,2.514064698,95
{} => {bj=BJ2},14,0.668531469,0.668531469,1,478
